Title,Synopsis,Links
Doctor Strange in the Multiverse of Madness,"
 Dans ce nouveau film Marvel Studios, l’univers cinématographique Marvel déverrouille et repousse les limites du multivers encore plus loin. Voyagez dans l’inconnu avec Doctor Strange, qui avec l’aide d’anciens et de nouveaux alliés mystiques, traverse les réalités hallucinantes et dangereuses du multivers pour affronter un nouvel adversaire mystérieux.
",http://www.allocine.fr/film/fichefilm_gen_cfilm=251390.html
Downton Abbey II : Une nouvelle ère,"
1928. Les Crawley et leurs domestiques assistent tous au mariage de Tom Branson et de Lucy Smith, fille de Lady Bagshaw. Lord Grantham explique à ses proches que le notaire de famille se rendra prochainement à Downton, à la demande de la Douairière, et qu’il compte sur leur présence à tous. En effet, Violet a hérité d’une villa dans le sud de la France qu’elle souhaite à son tour léguer à la fille de Lady Sybil et de Branson. Mais cette décision met celui-ci mal à l’aise. Sans comprendre pourquoi le regretté marquis de Montmirail s’est montré aussi généreux avec sa mère, Lord Grantham reçoit un appel téléphonique intriguant : un certain M. Barber, réalisateur pour le cinéma, souhaite tourner son nouveau film muet, The Gambler, à Downton Abbey. Si Robert estime que l’idée est grotesque, Lady Mary, de son côté, considère qu’il est difficile de refuser l’offre de la production face aux travaux de rénovation qui attend la famille. Grantham doit bien reconnaître que c’est désormais sa fille qui est aux commandes. Chez les domestiques, la perspective d’un tournage à Downton provoque un vif émoi. Daisy et Anna se réjouissent de voir leurs idoles de cinéma en chair et en os, mais Mme Hughes se demande comment annoncer la nouvelle à M. Carson. Tandis que la production s’apprête à investir la propriété, la famille envisage de fuir le chaos qui s’annonce et d’en profiter pour découvrir la villa du sud de la France et rencontrer le nouveau marquis de Montmirail…
",http://www.allocine.fr/film/fichefilm_gen_cfilm=279664.html
Ténor,"
Antoine, jeune banlieusard parisien, suit des études de comptabilité sans grande conviction, partageant son temps entre les battles de rap qu’il pratique avec talent et son job de livreur de sushis. Lors d’une course à l’Opéra Garnier, sa route croise celle de Mme Loyseau, professeur de chant dans la vénérable institution, qui détecte chez Antoine un talent brut à faire éclore. Malgré son absence de culture lyrique, Antoine est fasciné par cette forme d’expression et se laisse convaincre de suivre l’enseignement de Mme Loyseau. Antoine n’a d’autre choix que de mentir à sa famille, ses amis et toute la cité pour qui l’opéra est un truc de bourgeois, loin de leur monde.
",http://www.allocine.fr/film/fichefilm_gen_cfilm=293272.html
Les Animaux Fantastiques : les Secrets de Dumbledore,"
Le professeur Albus Dumbledore sait que le puissant mage noir Gellert Grindelwald cherche à prendre le contrôle du monde des sorciers. Incapable de l’empêcher d’agir seul, il sollicite le magizoologiste Norbert Dragonneau pour qu’il réunisse des sorciers, des sorcières et un boulanger moldu au sein d’une équipe intrépide. Leur mission des plus périlleuses les amènera à affronter des animaux, anciens et nouveaux, et les disciples de plus en plus nombreux de Grindelwald. Pourtant, dès lors que que les enjeux sont aussi élevés, Dumbledore pourra-t-il encore rester longtemps dans l’ombre ?
",http://www.allocine.fr/film/fichefilm_gen_cfilm=228087.html
Top Gun: Maverick,"
Le film est présenté hors-compétition au Festival de Cannes 2022.Après avoir été l’un des meilleurs pilotes de chasse de la Marine américaine pendant plus de trente ans, Pete “Maverick"" Mitchell continue à repousser ses limites en tant que pilote d'essai. Il refuse de monter en grade, car cela l’obligerait à renoncer à voler. Il est chargé de former un détachement de jeunes diplômés de l’école Top Gun pour une mission spéciale qu’aucun pilote n'aurait jamais imaginée. Lors de cette mission, Maverick rencontre le lieutenant Bradley “Rooster” Bradshaw, le fils de son défunt ami, le navigateur Nick “Goose” Bradshaw. Face à un avenir incertain, hanté par ses fantômes, Maverick va devoir affronter ses pires cauchemars au cours d’une mission qui exigera les plus grands des sacrifices.
",http://www.allocine.fr/film/fichefilm_gen_cfilm=186636.html
Elvis,"
Le film est présenté hors-compétition au Festival de Cannes 2022.La vie et l'œuvre musicale d'Elvis Presley à travers le prisme de ses rapports complexes avec son mystérieux manager, le colonel Tom Parker. Le film explorera leurs relations sur une vingtaine d'années, de l'ascension du chanteur à son statut de star inégalé, sur fond de bouleversements culturels et de la découverte par l'Amérique de la fin de l'innocence.
",http://www.allocine.fr/film/fichefilm_gen_cfilm=228681.html
Trois Mille ans à t’attendre,"
Le film est présenté hors-compétition au Festival de Cannes 2022.Alithea Binnie, bien que satisfaite par sa vie, porte un regard sceptique sur le monde. Un jour, elle rencontre un génie qui lui propose d’exaucer trois vœux en échange de sa liberté. Mais Alithea est bien trop érudite pour ignorer que, dans les contes, les histoires de vœux se terminent mal. Il plaide alors sa cause en lui racontant son passé extraordinaire. Séduite par ses récits, elle finit par formuler un vœu des plus surprenants.
",http://www.allocine.fr/film/fichefilm_gen_cfilm=268966.html
Mascarade,"
Le film est présenté hors-compétition au Festival de Cannes 2022.Adrien, un séduisant danseur à la carrière brisée par un accident de moto, dilapide sa jeunesse dans l’oisiveté de la Côte d’Azur, entretenu par Martha, une ancienne gloire du cinéma. Sa vie bascule lorsqu’il rencontre Margot, fascinante créature qui vit d’arnaques et de manipulations amoureuses. Ensemble, ils vont fantasmer une vie meilleure et mettre en place un stratagème diabolique, une mascarade sentimentale.
",http://www.allocine.fr/film/fichefilm_gen_cfilm=289268.html
Novembre,"
Le film est présenté hors-compétition au Festival de Cannes 2022.Une plongée au cœur de l’Anti-Terrorisme pendant les 5 jours d'enquête qui ont suivi les attentats du 13 novembre.
",http://www.allocine.fr/film/fichefilm_gen_cfilm=290915.html
Hunt,"
Le film est présenté en séance de minuit au Festival de Cannes 2022.1980, Corée du Sud. Après l’assassinat du président Park par la CIA coréenne, l’armée prend à nouveau le pouvoir. La Corée du Nord y voit l’opportunité d’une future invasion, et y envoie un de ses espions. Park Pyeong-Ho et Kim Jung-Do, deux hauts responsables de la sécurité sud-coréenne, sont missionnés pour traquer l’infiltré. S’engage alors une terrible course contre la montre. La situation des deux Corée est au bord de l’implosion et les deux agents, au cours de leur enquête, vont déterrer de lourds secrets qui menacent de faire basculer l’Histoire du pays …
",http://www.allocine.fr/film/fichefilm_gen_cfilm=303545.html
Fumer fait tousser,"
Le film est présenté en séance de minuit au Festival de Cannes 2022.Après un combat acharné contre une tortue démoniaque, cinq justiciers qu’on appelle les ""TABAC FORCE"", reçoivent l’ordre de partir en retraite pour renforcer la cohésion de leur groupe qui est en train de se dégrader. Le séjour se déroule à merveille jusqu’à ce que Lézardin, empereur du Mal, décide d’anéantir la planète Terre…
",http://www.allocine.fr/film/fichefilm_gen_cfilm=296128.html
